sentence,emotion
cho mình xin bài nhạc tên là gì với ạ,4
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,1
lo học đi . yêu đương lol gì hay lại thích học sinh học,1
uớc gì sau này về già vẫn có thể như cụ này :)),2
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,2
thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,0
một lí do trog muôn vàn lí do,4
thật hay đùa ác vậy . không thể tin được,6
"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",0
per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,5
công nhận sáng tạo thật đấy,2
đòn tấn công cực gắt và cục sút của anh 😂😂😂,1
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,4
minh biết nữa ne,2
mấy thằng củ lol việt nam nhảm nhí :)),1
"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",5
"bếp dầu , nhiều nhà vẫn dùng",4
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,4
"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",3
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,2
"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",0
coi video chưa hiểu gì đã làm ầm lên,1
chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,2
yêu chết đi được .,2
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,5
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,5
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,0
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,3
t gặp quả này thì bỏ xe mà chạy ??,3
thế con trai là của ai cho,4
per đây mí chính là cụ tổ của những chiếc sừng này,6
muốn share về mà sợ bị bạn nè phẫn nộ quá,3
"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",5
nay buồn :(((,5
"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",3
ai có link nhạc mấy bài trên không ạ hay vãi ra,2
đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,4
phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,4
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,5
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,2
đéo được tích sự gì 😂,0
haizzz ... thế là chưa có kq gì tốt đẹp cả ..,5
bản thân cố gắng cũng chẳng dễ dàng gì :((,5
"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",1
thế em ăn cơm chưa ?,4
"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",4
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,1
mày coi chừng có ngày tao dã dô mặt mày như dzầy,0
canh thời gian đăng đúng vãi !,6
quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,1
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,5
mình thi xong còn không khóc được 😢,5
"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",2
"per trừ điểm , trừ điểm",5
"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",1
cả tuần không được nói chuyện,5
per mày cẩn thận tao giết,0
cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,1
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),4
đẹp trai quá,2
đóng cái lồn tao nè chứ đóng,0
"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",5
"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",5
hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),2
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,1
"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",1
dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,2
ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,5
giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,5
per tao được làm fan cứng giống mày rồi 🤣,2
xem cái này mới biết vốn tiếng anh của mình cũng khá !,6
thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,1
ôi bé xinh gái vãi :)),2
cười sái mẹ quai hàm,2
rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,5
tự dưng cay mẹ mắt,5
tao sợ thật sự :(((,3
per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,2
tốt quá,2
ông nào viết vui tính thế =)) cưng thật,2
không hiểu sao nhìu người lại thả haha nhỉ ??,6
diễn viên già vãi -.-,1
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,2
cưng quá đi,2
nhìn mẫu này lạ mắt mà đẹp quá,6
tao cay mẹ khoé mắt,5
thấy mệt thêm chứ chẳng khỏe gì cả .,1
":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",2
"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",2
tao mệt chúng mày quá,1
hahaha lúc trước ca làm có 4 chị em vui biết bao :)),2
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,1
các bạn đang bảo con này ah 😂😂😂,4
má chủ dễ thương vậy tao cũng muốn xin,2
"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",2
"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",5
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,0
nhìn thương quá ... lao động nghiêm túc,2
đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),5
per mấy trụ kia em không tag được,4
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,0
per ơ ơ ơ đây là đâu vậy,6
gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,0
"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",1
k phải là trời không cho mày yêu . vì m quá ngulon,1
"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",3
hết tiền rồi này,5
"đẹp , dẽ thương mà",2
tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,0
phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,2
thế làm sao dỗ bạn gái đang giận :(,5
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),0
loài này bé như ngón tay phàm ăn lắm sợ luôn,3
"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",1
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,1
chẳng đủ dịu dàng để níu bước chân anh,5
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,4
